id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,some_place,place_num,place
121,551,NA,NA,1617,1718,us ug,Belong,Some Place,b3,Fishbowl
121,551,NA,NA,1617,1718,us ug,Belong,Some Place,b4,NA
121,551,NA,NA,1617,1718,us ug,Belong,Some Place,b5,NA
121,551,NA,NA,1617,1718,us ug,Belong,Some Place,b6,NA
123,553,NA,NA,1617,1718,us ug,Belong,Some Place,b1,EastAtrium
123,553,NA,NA,1617,1718,us ug,Belong,Some Place,b2,Fishbowl
123,553,NA,NA,1617,1718,us ug,Belong,Some Place,b3,O
123,553,NA,NA,1617,1718,us ug,Belong,Some Place,b4,NA
123,553,NA,NA,1617,1718,us ug,Belong,Some Place,b5,NA
123,553,NA,NA,1617,1718,us ug,Belong,Some Place,b6,NA
124,556,NA,NA,1617,1718,us ug,Belong,Some Place,b1,Fishbowl
124,556,NA,NA,1617,1718,us ug,Belong,Some Place,b2,No Place
124,556,NA,NA,1617,1718,us ug,Belong,Some Place,b3,No Place
124,556,NA,NA,1617,1718,us ug,Belong,Some Place,b4,NA
124,556,NA,NA,1617,1718,us ug,Belong,Some Place,b5,NA
124,556,NA,NA,1617,1718,us ug,Belong,Some Place,b6,NA
126,567,NA,NA,1617,1718,us ug,Belong,Some Place,b1,ASUO.SGES
126,567,NA,NA,1617,1718,us ug,Belong,Some Place,b2,MCC
126,567,NA,NA,1617,1718,us ug,Belong,Some Place,b3,No Place
126,567,NA,NA,1617,1718,us ug,Belong,Some Place,b4,NA
126,567,NA,NA,1617,1718,us ug,Belong,Some Place,b5,NA
126,567,NA,NA,1617,1718,us ug,Belong,Some Place,b6,NA
130,573,NA,NA,1617,1718,us ug,Belong,Some Place,b1,Craft
130,573,NA,NA,1617,1718,us ug,Belong,Some Place,b2,Fishbowl
130,573,NA,NA,1617,1718,us ug,Belong,Some Place,b3,Taylor
130,573,NA,NA,1617,1718,us ug,Belong,Some Place,b4,NA
130,573,NA,NA,1617,1718,us ug,Belong,Some Place,b5,NA
130,573,NA,NA,1617,1718,us ug,Belong,Some Place,b6,NA
131,579,NA,NA,1617,1718,us ug,Belong,Some Place,b1,FSL
131,579,NA,NA,1617,1718,us ug,Belong,Some Place,b2,Panda
131,579,NA,NA,1617,1718,us ug,Belong,Some Place,b3,WC
131,579,NA,NA,1617,1718,us ug,Belong,Some Place,b4,NA
131,579,NA,NA,1617,1718,us ug,Belong,Some Place,b5,NA
131,579,NA,NA,1617,1718,us ug,Belong,Some Place,b6,NA
132,584,NA,NA,1617,1718,us ug,Belong,Some Place,b1,Fishbowl
132,584,NA,NA,1617,1718,us ug,Belong,Some Place,b2,Holden
132,584,NA,NA,1617,1718,us ug,Belong,Some Place,b3,WC
132,584,NA,NA,1617,1718,us ug,Belong,Some Place,b4,NA
132,584,NA,NA,1617,1718,us ug,Belong,Some Place,b5,NA
132,584,NA,NA,1617,1718,us ug,Belong,Some Place,b6,NA
133,585,NA,NA,1617,1718,us ug,Belong,Some Place,b1,DuckStore
133,585,NA,NA,1617,1718,us ug,Belong,Some Place,b2,EastAtrium
133,585,NA,NA,1617,1718,us ug,Belong,Some Place,b3,Subway
133,585,NA,NA,1617,1718,us ug,Belong,Some Place,b4,NA
133,585,NA,NA,1617,1718,us ug,Belong,Some Place,b5,NA
133,585,NA,NA,1617,1718,us ug,Belong,Some Place,b6,NA
134,591,NA,NA,1617,1718,us ug,Belong,Some Place,b1,EastAtrium
134,591,NA,NA,1617,1718,us ug,Belong,Some Place,b2,Other1
134,591,NA,NA,1617,1718,us ug,Belong,Some Place,b3,Plaza
134,591,NA,NA,1617,1718,us ug,Belong,Some Place,b4,NA
134,591,NA,NA,1617,1718,us ug,Belong,Some Place,b5,NA
134,591,NA,NA,1617,1718,us ug,Belong,Some Place,b6,NA
135,595,NA,NA,1617,1718,us ug,Belong,Some Place,b1,Courtyard
135,595,NA,NA,1617,1718,us ug,Belong,Some Place,b2,Craft
135,595,NA,NA,1617,1718,us ug,Belong,Some Place,b3,WC
135,595,NA,NA,1617,1718,us ug,Belong,Some Place,b4,NA
135,595,NA,NA,1617,1718,us ug,Belong,Some Place,b5,NA
135,595,NA,NA,1617,1718,us ug,Belong,Some Place,b6,NA
137,599,NA,NA,1617,1718,us ug,Belong,Some Place,b1,Fishbowl
137,599,NA,NA,1617,1718,us ug,Belong,Some Place,b2,Other1
137,599,NA,NA,1617,1718,us ug,Belong,Some Place,b3,No Place
137,599,NA,NA,1617,1718,us ug,Belong,Some Place,b4,NA
137,599,NA,NA,1617,1718,us ug,Belong,Some Place,b5,NA
137,599,NA,NA,1617,1718,us ug,Belong,Some Place,b6,NA
141,605,NA,NA,1617,1718,us ug,Belong,Some Place,b1,Courtyard
141,605,NA,NA,1617,1718,us ug,Belong,Some Place,b2,Craft
141,605,NA,NA,1617,1718,us ug,Belong,Some Place,b3,Starbucks
