id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,some_place,b1,b2,b3,b4,b5,b6,db1,db2,db3,db4,db5,db6
211,785,NA,NA,1617,1718,us ug,Belong,Some Place,FreshMarket,Other1,Redwood,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,791,NA,NA,1617,1718,us ug,Belong,Some Place,EastAtrium,Fishbowl,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,792,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,Emerald,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,800,NA,NA,1617,1718,us ug,Belong,Some Place,Ballroom,DuckNest,FallingSky,FSL,NA,NA,NA,NA,NA,NA,NA,NA
220,806,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,EastAtrium,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,807,NA,NA,1617,1718,us ug,Belong,Some Place,Emerald,Mills,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,835,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,SouthAtrium,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,845,NA,NA,1617,1718,us ug,Belong,Some Place,Copy,Craft,FallingSky,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,851,NA,NA,1617,1718,us ug,Belong,Some Place,Board,Courtyard,DuckNest,Fishbowl,Mills,NA,NA,NA,NA,NA,NA,NA
236,857,NA,NA,1617,1718,us ug,Belong,Some Place,DuckNest,Fishbowl,SouthAtrium,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,860,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,Fishbowl,Other1,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,861,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,Hallway2ndFloor,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,875,NA,NA,1617,1718,us ug,Belong,Some Place,Other2,Starbucks,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,879,NA,NA,1617,1718,us ug,Belong,Some Place,Lobisser,McMillan,Other2,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,882,NA,NA,1617,1718,us ug,Belong,Some Place,Craft,FallingSky,SouthAtrium,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,887,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,WC,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,902,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,WC,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,912,NA,NA,1617,1718,us ug,Belong,Some Place,DuckNest,LGBTQA3,OP,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,913,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,Starbucks,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,920,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,SouthAtrium,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,923,NA,NA,1617,1718,us ug,Belong,Some Place,Ballroom,Courtyard,Fishbowl,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,924,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,ODesk,SES,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,925,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,Fishbowl,Mills,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,940,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,Plaza,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,951,NA,NA,1617,1718,us ug,Belong,Some Place,Craft,CSI.RC,O,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,960,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,O,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,961,NA,NA,1617,1718,us ug,Belong,Some Place,CSI.RC,Taylor,Townshend,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,968,NA,NA,1617,1718,us ug,Belong,Some Place,Chipotle,Fishbowl,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,981,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,Other1,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,983,NA,NA,1617,1718,us ug,Belong,Some Place,DuckNest,Taylor,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,989,NA,NA,1617,1718,us ug,Belong,Some Place,Admin,Fishbowl,O,Other1,Other2,NA,NA,NA,NA,NA,NA,NA
280,990,NA,NA,1617,1718,us ug,Belong,Some Place,Chipotle,Courtyard,CSI.RC,Other1,Other2,Willow,NA,NA,NA,NA,NA,NA
281,991,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,DuckStore,Fishbowl,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,997,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,O,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,1007,NA,NA,1617,1718,us ug,Belong,Some Place,Craft,Fishbowl,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,1013,NA,NA,1617,1718,us ug,Belong,Some Place,FallingSky,OP,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,1016,NA,NA,1617,1718,us ug,Belong,Some Place,Admin,Other1,Redwood,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,1023,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,Other1,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
