id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,some_place,place_num,place
80,422,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
80,422,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
80,422,NA,NA,1516,1718,us ug,Belong,Some Place,b3,LokeyComplex
81,425,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
81,425,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Lawrence
81,425,NA,NA,1516,1718,us ug,Belong,Some Place,b3,LokeyComplex
82,427,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Cemetery
82,427,NA,NA,1516,1718,us ug,Belong,Some Place,b2,McKenzie
82,427,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Straub.Earl
83,428,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Frohnmayer
83,428,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
83,428,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Straub.Earl
84,431,NA,NA,1516,1718,us ug,Belong,Some Place,b1,LokeyComplex
84,431,NA,NA,1516,1718,us ug,Belong,Some Place,b2,No Place
84,431,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
85,432,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Autzen
85,432,NA,NA,1516,1718,us ug,Belong,Some Place,b2,GSH
85,432,NA,NA,1516,1718,us ug,Belong,Some Place,b3,LokeyComplex
86,433,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
86,433,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
86,433,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
87,438,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
87,438,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LillisComplex
87,438,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
88,442,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Lawrence
88,442,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Other
88,442,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
89,451,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Frohnmayer
89,451,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
89,451,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Other
90,452,NA,NA,1516,1718,us ug,Belong,No Place,b1,No Place
90,452,NA,NA,1516,1718,us ug,Belong,No Place,b2,No Place
90,452,NA,NA,1516,1718,us ug,Belong,No Place,b3,No Place
91,455,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Jaqua
91,455,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LLC
91,455,NA,NA,1516,1718,us ug,Belong,Some Place,b3,LokeyComplex
92,456,NA,NA,1516,1718,us ug,Belong,No Place,b1,No Place
92,456,NA,NA,1516,1718,us ug,Belong,No Place,b2,No Place
92,456,NA,NA,1516,1718,us ug,Belong,No Place,b3,No Place
93,461,NA,NA,1516,1718,us ug,Belong,Some Place,b1,LokeyComplex
93,461,NA,NA,1516,1718,us ug,Belong,Some Place,b2,SRC
93,461,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
94,462,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
94,462,NA,NA,1516,1718,us ug,Belong,Some Place,b2,GSH
94,462,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Library
95,466,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
95,466,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Franklin
95,466,NA,NA,1516,1718,us ug,Belong,Some Place,b3,LokeyComplex
96,472,NA,NA,1516,1718,us ug,Belong,No Place,b1,No Place
96,472,NA,NA,1516,1718,us ug,Belong,No Place,b2,No Place
96,472,NA,NA,1516,1718,us ug,Belong,No Place,b3,No Place
97,474,NA,NA,1516,1718,us ug,Belong,No Place,b1,No Place
97,474,NA,NA,1516,1718,us ug,Belong,No Place,b2,No Place
97,474,NA,NA,1516,1718,us ug,Belong,No Place,b3,No Place
